year,cps_group,employed_thousands
2012,"management, business, and financial operations occupations",22678.166666666668
2012,office and administrative support occupations,17695.166666666668
2012,production occupations,8454.75
2012,professional and related occupations,31364.583333333332
2012,sales and related occupations,15457.25
2012,service occupations,25458.916666666668
2012,transportation and material moving occupations,8539.75
2013,construction and extraction occupations,7130.166666666667
2013,"farming, fishing, and forestry occupations",964.1666666666666
2013,"installation, maintenance, and repair occupations",4963.833333333333
2013,"management, business, and financial operations occupations",22794.083333333332
2013,office and administrative support occupations,17801.916666666668
2013,production occupations,8275.083333333334
2013,professional and related occupations,31917.5
2013,sales and related occupations,15444.25
2013,service occupations,25929.166666666668
2013,transportation and material moving occupations,8709.166666666666
2014,construction and extraction occupations,7636.583333333333
2014,"farming, fishing, and forestry occupations",1021.6666666666666
2014,"installation, maintenance, and repair occupations",4879.25
2014,"management, business, and financial operations occupations",23170.666666666668
2014,office and administrative support occupations,17770.916666666668
2014,production occupations,8438.25
2014,professional and related occupations,32879.0
2014,sales and related occupations,15645.583333333334
2014,service occupations,25854.0
2014,transportation and material moving occupations,9009.916666666666
2015,construction and extraction occupations,7651.916666666667
2015,"farming, fishing, and forestry occupations",1072.9166666666667
2015,"installation, maintenance, and repair occupations",5008.166666666667
2015,"management, business, and financial operations occupations",24108.5
2015,office and administrative support occupations,17897.333333333332
2015,production occupations,8522.0
2015,professional and related occupations,33851.833333333336
2015,sales and related occupations,15700.416666666666
2015,service occupations,25895.583333333332
2015,transportation and material moving occupations,9124.75
2016,construction and extraction occupations,7928.916666666667
2016,"farming, fishing, and forestry occupations",1096.0
2016,"installation, maintenance, and repair occupations",4879.166666666667
2016,"management, business, and financial operations occupations",24940.666666666668
2016,office and administrative support occupations,17690.916666666668
2016,production occupations,8458.5
2016,professional and related occupations,34497.833333333336
2016,sales and related occupations,15848.166666666666
2016,service occupations,26811.5
2016,transportation and material moving occupations,9284.25
2017,construction and extraction occupations,8031.0
2017,"farming, fishing, and forestry occupations",1184.3333333333333
2017,"installation, maintenance, and repair occupations",4977.25
2017,"management, business, and financial operations occupations",25378.666666666668
2017,office and administrative support occupations,17751.25
2017,production occupations,8481.5
2017,professional and related occupations,35522.333333333336
2017,sales and related occupations,15814.916666666666
2017,service occupations,26751.0
2017,transportation and material moving occupations,9445.25
2018,construction and extraction occupations,8338.25
2018,"farming, fishing, and forestry occupations",1120.75
2018,"installation, maintenance, and repair occupations",5011.916666666667
2018,"management, business, and financial operations occupations",25849.916666666668
2018,office and administrative support occupations,17655.0
2018,production occupations,8620.666666666666
2018,professional and related occupations,36585.75
2018,sales and related occupations,15806.166666666666
2018,service occupations,26854.416666666668
2018,transportation and material moving occupations,9918.166666666666
2019,construction and extraction occupations,8324.833333333334
2019,"farming, fishing, and forestry occupations",1156.0833333333333
2019,"installation, maintenance, and repair occupations",4862.166666666667
2019,"management, business, and financial operations occupations",26980.75
2019,office and administrative support occupations,17788.583333333332
2019,production occupations,8564.833333333334
2019,professional and related occupations,37236.916666666664
2019,sales and related occupations,15581.916666666666
2019,service occupations,26978.416666666668
2019,transportation and material moving occupations,10063.166666666666
2020,construction and extraction occupations,7709.916666666667
2020,"farming, fishing, and forestry occupations",1045.25
2020,"installation, maintenance, and repair occupations",4601.583333333333
2020,"management, business, and financial operations occupations",27142.666666666668
2020,office and administrative support occupations,15558.0
2020,production occupations,7589.833333333333
2020,professional and related occupations,36501.666666666664
2020,sales and related occupations,14168.416666666666
2020,service occupations,22853.083333333332
2020,transportation and material moving occupations,10624.833333333334
2021,construction and extraction occupations,8057.5
2021,"farming, fishing, and forestry occupations",1061.0
2021,"installation, maintenance, and repair occupations",4840.0
2021,"management, business, and financial operations occupations",27864.083333333332
2021,office and administrative support occupations,15797.0
2021,production occupations,7949.833333333333
2021,professional and related occupations,36880.5
2021,sales and related occupations,14369.25
2021,service occupations,24402.583333333332
2021,transportation and material moving occupations,11359.0
2022,construction and extraction occupations,8427.083333333334
2022,"farming, fishing, and forestry occupations",979.6666666666666
2022,"installation, maintenance, and repair occupations",4852.916666666667
