survey_year,dorn_group,tenure_class,displaced_thousands,unweighted_count,sampling_variance
1986,mining,long_tenured,43.35015,33,75.62477277622003
1986,operator,long_tenured,1236.8883500000002,733,2486.0606722459656
1986,otheragr,long_tenured,56.08637,33,123.01812959898426
1986,othpers,long_tenured,9.34605,5,24.176954608484866
1986,product,long_tenured,383.39989,230,651.0436630699777
1986,prof,long_tenured,281.05682,178,578.3579211688209
1986,recreation,long_tenured,6.08063,6,7.398285372882291
1986,retsales,long_tenured,223.41423999999998,137,479.5984934220965
1986,shealth,long_tenured,51.83898,33,94.53599077365378
1986,tech,long_tenured,169.06501999999998,100,327.58171207881355
1986,transp,long_tenured,625.4768,377,1192.6203865885095
1988,beauty,all_tenures,35.96292,20,77.60325805392965
1988,child,all_tenures,31.383950000000002,17,59.894739835958
1988,clean,all_tenures,57.192550000000004,26,113.4425927953607
1988,cleric,all_tenures,1319.6126499999998,773,3403.216841314925
1988,constr,all_tenures,689.37842,418,1698.4940275133854
1988,exec,all_tenures,690.18972,414,1405.038128654191
1988,farmer,all_tenures,11.07517,5,23.19054905093363
1988,finsales,all_tenures,362.43375,216,841.5602720453832
1988,firepol,all_tenures,3.5741400000000003,2,6.820265176274685
1988,food,all_tenures,431.39971999999995,256,1098.24082284203
1988,guard,all_tenures,53.46257,35,103.80251278492418
1988,janitor,all_tenures,187.92642999999998,108,387.6734724630246
1988,mechanic,all_tenures,395.86484,253,742.272742560938
1988,mgmtrel,all_tenures,268.91676,157,547.8327794448461
1988,mining,all_tenures,81.56747999999999,55,158.75383900040978
1988,operator,all_tenures,1440.4309099999998,833,3339.396854145904
1988,otheragr,all_tenures,82.78669000000001,45,261.25731129993136
1988,othpers,all_tenures,17.765729999999998,8,48.1222524133907
1988,product,all_tenures,428.72042,256,996.2808427117784
1988,prof,all_tenures,542.0325899999999,325,1262.5579983565985
1988,recreation,all_tenures,5.740780000000001,4,8.809322632278503
1988,retsales,all_tenures,730.9877299999999,435,1421.8359270387782
1988,shealth,all_tenures,80.652,44,197.20677792816426
1988,tech,all_tenures,323.005,181,649.001944555156
1988,transp,all_tenures,1184.9765,696,2342.9892539014368
1988,beauty,long_tenured,12.047979999999999,6,26.907065610710955
1988,child,long_tenured,7.29952,4,15.292715464983356
1988,clean,long_tenured,17.758680000000002,8,34.7821210878839
1988,cleric,long_tenured,633.5190600000001,366,1410.9190330271797
1988,constr,long_tenured,272.76377,158,555.812729205535
1988,exec,long_tenured,372.72736,226,782.8233158698827
1988,farmer,long_tenured,8.50632,4,19.68346690975471
1988,finsales,long_tenured,207.43599,127,433.9568129139319
1988,firepol,long_tenured,3.5741400000000003,2,7.982494857357969
1988,food,long_tenured,129.81628,72,242.54464657813372
1988,guard,long_tenured,23.63498,15,41.608106271789026
1988,janitor,long_tenured,69.91942,40,159.7203905505447
1988,mechanic,long_tenured,184.49958999999998,120,407.2947331100658
1988,mgmtrel,long_tenured,143.62179,87,297.37330879586943
1988,mining,long_tenured,46.87742,33,103.48138742385777
1988,operator,long_tenured,778.5130899999999,445,1808.8535579727723
1988,otheragr,long_tenured,26.58544,18,53.16286465055277
1988,othpers,long_tenured,6.409800000000001,4,9.93812302007815
1988,product,long_tenured,270.25782,166,535.8370630752545
1988,prof,long_tenured,279.62965,162,623.767005718328
1988,recreation,long_tenured,3.04975,2,4.127424151763608
1988,retsales,long_tenured,282.08702999999997,169,619.5509457281889
1988,shealth,long_tenured,45.32701,25,107.5026654643465
1988,tech,long_tenured,165.93867,96,391.2107150871517
1988,transp,long_tenured,534.45222,322,1041.0709552857072
