coding_block,occ1990dd,census_code,employed_thousands
2003_2010,436,4020,15267.9704761
2003_2010,439,4050,2479.8792508916667
2003_2010,444,4030,5494.570813483333
2003_2010,444,4060,2514.0134575666666
2003_2010,444,4120,1365.002622475
2003_2010,444,4130,2957.053352391667
2003_2010,444,4140,2196.4037844083336
2003_2010,444,4160,43.598966358333335
2003_2010,445,3640,2147.9133039666667
2003_2010,447,3600,15146.227642099999
2003_2010,447,3650,6136.07514145
2003_2010,447,4610,6066.975853808333
2003_2010,448,4200,2082.069296975
2003_2010,450,4210,1907.165327225
2003_2010,451,4250,9853.558707049999
2003_2010,453,4220,16768.674920658334
2003_2010,455,4240,581.845063425
2003_2010,457,4500,782.892842725
2003_2010,458,4510,6074.3454619583335
2003_2010,458,4520,1788.8044984333335
2003_2010,459,4400,853.3617313833333
2003_2010,459,4430,1332.6276110333333
2003_2010,461,4540,284.637247075
2003_2010,462,4420,376.62425645
2003_2010,464,4530,586.7135007583333
2003_2010,466,4620,2713.0261035500002
2003_2010,467,4410,67.85696073333334
2003_2010,468,4600,10575.505709275
2003_2010,468,4640,474.46584269166664
2003_2010,469,3630,1043.0422506083335
2003_2010,469,4150,2087.3798053250002
2003_2010,469,4460,110.59590268333332
2003_2010,469,4650,773.3299917583333
2003_2010,469,9750,419.38086132499996
2003_2010,470,4320,1394.4262732083334
2003_2010,471,4550,1004.0560522333333
2003_2010,471,9410,367.81522309166667
2003_2010,472,4350,1157.163051125
2003_2010,473,210,6229.97086175
2003_2010,475,200,1731.479371125
2003_2010,475,6020,71.91058366666667
2003_2010,479,4340,335.2717573416666
2003_2010,479,6050,5610.122233725
2003_2010,488,6040,596.6818689333334
2003_2010,489,6010,156.84232651666667
2003_2010,496,6000,399.1870320833333
2003_2010,496,6120,109.821401575
2003_2010,496,6130,616.56619895
2003_2010,498,6100,291.214959675
2003_2010,498,6110,13.561454566666669
2003_2010,503,7000,2692.3288856833333
2003_2010,505,7200,6987.557236791667
2003_2010,507,7210,2789.9351612000005
2003_2010,508,7140,1100.9440204583332
2003_2010,509,7240,483.74920737499997
2003_2010,514,7150,1345.2374675249998
2003_2010,514,7160,166.44246956666666
2003_2010,516,7220,1768.2036188833333
2003_2010,516,7260,716.1612591333333
2003_2010,518,7330,3504.9679619083336
2003_2010,519,7350,351.2163582333333
2003_2010,523,7100,120.92076448333333
2003_2010,523,7120,473.9297701166667
2003_2010,525,7010,2707.5561053500005
2003_2010,526,7320,410.3821250666666
2003_2010,527,7020,1654.8919843583335
2003_2010,527,7420,1419.2872059499998
2003_2010,533,7030,110.28518168333333
2003_2010,533,7050,30.80178755
2003_2010,533,7110,199.34648496666668
2003_2010,534,7310,3069.2609546500003
2003_2010,535,7430,500.08649755833335
2003_2010,535,8750,386.9958044833333
2003_2010,536,7540,224.54281660000004
2003_2010,539,7300,183.49653565
2003_2010,543,6700,247.7524067083333
2003_2010,544,7360,498.48962455
2003_2010,549,7340,3105.5884378500004
2003_2010,549,7550,110.40558695833333
2003_2010,549,7560,60.499909425
2003_2010,549,7620,1781.4611045249999
2003_2010,558,6200,6933.164686700001
2003_2010,563,6220,1724.3813439916667
2003_2010,563,6240,2028.0635721666667
2003_2010,567,6230,12897.10785015
2003_2010,573,6330,1746.7206541166668
2003_2010,575,6350,6543.544900600001
2003_2010,575,7130,511.2596503666666
2003_2010,577,7040,287.7531004333333
2003_2010,577,7410,912.5136989083335
2003_2010,577,7600,45.13176125833333
2003_2010,579,6420,5247.280021716666
2003_2010,583,6430,76.54945097499998
2003_2010,584,6460,428.07218231666667
2003_2010,585,6440,4922.495571991666
2003_2010,588,6250,825.8928771083334
2003_2010,589,6360,375.2714647166667
